Date,Prices
1/8/2016,4096
1/9/2016,4540
1/10/2016,4039
1/11/2016,4442
1/12/2016,4000
1/1/2017,4425
1/2/2017,4100
1/3/2017,4990
1/4/2017,5400
1/5/2017,5200
1/6/2017,5500
1/7/2017,4900
1/8/2017,4779
1/9/2017,4469
1/10/2017,4021
1/11/2017,4473
1/12/2017,4800
1/1/2018,4400
1/2/2018,4800
1/3/2018,5000
1/4/2018,5600
1/5/2018,6000
1/6/2018,6400
1/7/2018,6065
1/8/2018,5532
1/9/2018,5246
1/10/2018,5799
1/11/2018,5487
1/12/2018,5000
1/1/2019,5400
1/2/2019,4900
1/3/2019,5400
1/4/2019,4900
1/5/2019,4600
1/6/2019,4800
1/7/2019,4876
1/8/2019,5000
1/9/2019,4890
1/10/2019,4712
1/11/2019,4518
1/12/2019,4700
1/1/2020,5000
1/2/2020,4500
1/3/2020,4987
1/4/2020,4887
1/5/2020,6000
1/6/2020,5100
1/7/2020,5500
